strategy,source,content,network,users,seed,U_Rb0,U,Rq,Ro,Rb_matched_live_md2g,decoded_completion,bandwidth_mbps_shared,p99_delay_ms,n_ticks
MCG,OFFLINE_TRACE_REPLAY,redandblack,wifi,20,152,0.42999999849906323,0.42334511245601825,0.29999999749843875,1.0,0.04436590695363336,0.0,0.0,0.0,89
MCG,OFFLINE_TRACE_REPLAY,redandblack,wifi,20,153,0.42999999849906323,0.42334828597229934,0.29999999749843875,1.0,0.044344750178425804,0.0,0.0,0.0,89
MCG,OFFLINE_TRACE_REPLAY,redandblack,wifi,60,151,0.42999999849906323,0.4165667875611742,0.29999999749843875,1.0,0.08955473958592684,0.0,0.0,0.0,85
MCG,OFFLINE_TRACE_REPLAY,redandblack,wifi,60,152,0.42999999849906323,0.4138225753355056,0.29999999749843875,1.0,0.1078494877570508,0.0,0.0,0.0,87
MCG,OFFLINE_TRACE_REPLAY,redandblack,wifi,60,153,0.42999999849906323,0.4132904529188689,0.29999999749843875,1.0,0.11139697053462884,0.0,0.0,0.0,86
Rolling,CAST_COMMAND82_HANDBOOK,redandblack,4g,20,handbook_mean,,0.02,,,,,,,
Rolling,CAST_COMMAND82_HANDBOOK,redandblack,4g,60,handbook_mean,,0.0,,,,,,,
Rolling,CAST_COMMAND82_HANDBOOK,redandblack,4g,100,handbook_mean,,0.0,,,,,,,
Rolling,CAST_COMMAND82_HANDBOOK,redandblack,wifi,20,handbook_mean,,0.001,,,,,,,
Rolling,CAST_COMMAND82_HANDBOOK,redandblack,wifi,60,handbook_mean,,0.044,,,,,,,
Rolling,CAST_COMMAND82_HANDBOOK,redandblack,wifi,100,handbook_mean,,0.02,,,,,,,
Rolling,CAST_COMMAND82_HANDBOOK,redandblack,fiber_optic,20,handbook_mean,,0.0,,,,,,,
Rolling,CAST_COMMAND82_HANDBOOK,redandblack,fiber_optic,60,handbook_mean,,0.038,,,,,,,
Rolling,CAST_COMMAND82_HANDBOOK,redandblack,fiber_optic,100,handbook_mean,,0.04,,,,,,,
